EURUSD - MA Alert - 1 - price: 1.16450 - SMA_20: 1.16462,  EMA_20: 1.16459, EMA_9: 1.16455 - 20250821000100
EURUSD - MA Alert - 1 - price: 1.16440 - SMA_20: 1.16459,  EMA_20: 1.16457, EMA_9: 1.16452 - 20250821000900
EURUSD - MA Alert - 1 - price: 1.16460 - SMA_20: 1.16459,  EMA_20: 1.16458, EMA_9: 1.16454 - 20250821002400
EURUSD - MA Alert - 1 - price: 1.16470 - SMA_20: 1.16459,  EMA_20: 1.16459, EMA_9: 1.16457 - 20250821003300
EURUSD - MA Alert - 1 - price: 1.16480 - SMA_20: 1.16459,  EMA_20: 1.16461, EMA_9: 1.16462 - 20250821003400
EURUSD - MA Alert - 1 - price: 1.16460 - SMA_20: 1.16458,  EMA_20: 1.16461, EMA_9: 1.16461 - 20250821005718
EURUSD - MA Alert - 1 - price: 1.16450 - SMA_20: 1.16457,  EMA_20: 1.16460, EMA_9: 1.16459 - 20250821011207
EURUSD - MA Alert - 1 - price: 1.16440 - SMA_20: 1.16456,  EMA_20: 1.16458, EMA_9: 1.16455 - 20250821011301
EURUSD - MA Alert - 1 - price: 1.16430 - SMA_20: 1.16455,  EMA_20: 1.16455, EMA_9: 1.16450 - 20250821011402
EURUSD - MA Alert - 1 - price: 1.16440 - SMA_20: 1.16453,  EMA_20: 1.16451, EMA_9: 1.16443 - 20250821011800
EURUSD - MA Alert - 1 - price: 1.16450 - SMA_20: 1.16452,  EMA_20: 1.16451, EMA_9: 1.16445 - 20250821012202
EURUSD - MA Alert - 1 - price: 1.16460 - SMA_20: 1.16451,  EMA_20: 1.16452, EMA_9: 1.16448 - 20250821012404
EURUSD - MA Alert - 1 - price: 1.16470 - SMA_20: 1.16451,  EMA_20: 1.16453, EMA_9: 1.16452 - 20250821012703
EURUSD - MA Alert - 1 - price: 1.16480 - SMA_20: 1.16453,  EMA_20: 1.16456, EMA_9: 1.16458 - 20250821014601
EURUSD - MA Alert - 1 - price: 1.16490 - SMA_20: 1.16455,  EMA_20: 1.16459, EMA_9: 1.16464 - 20250821015801
EURUSD - MA Alert - 1 - price: 1.16470 - SMA_20: 1.16457,  EMA_20: 1.16460, EMA_9: 1.16465 - 20250821020501
EURUSD - MA Alert - 1 - price: 1.16450 - SMA_20: 1.16457,  EMA_20: 1.16459, EMA_9: 1.16461 - 20250821020603
EURUSD - MA Alert - 1 - price: 1.16440 - SMA_20: 1.16456,  EMA_20: 1.16457, EMA_9: 1.16457 - 20250821020900
EURUSD - MA Alert - 1 - price: 1.16430 - SMA_20: 1.16455,  EMA_20: 1.16455, EMA_9: 1.16452 - 20250821021200
EURUSD - MA Alert - 1 - price: 1.16450 - SMA_20: 1.16455,  EMA_20: 1.16454, EMA_9: 1.16451 - 20250821021801
EURUSD - MA Alert - 1 - price: 1.16430 - SMA_20: 1.16454,  EMA_20: 1.16452, EMA_9: 1.16447 - 20250821022000
EURUSD - MA Alert - 1 - price: 1.16420 - SMA_20: 1.16451,  EMA_20: 1.16449, EMA_9: 1.16442 - 20250821022102
EURUSD - MA Alert - 1 - price: 1.16410 - SMA_20: 1.16448,  EMA_20: 1.16445, EMA_9: 1.16435 - 20250821022200
EURUSD - MA Alert - 1 - price: 1.16400 - SMA_20: 1.16445,  EMA_20: 1.16441, EMA_9: 1.16428 - 20250821022300
